qid,minilm_emb_norm,minilm_term_sim_mean,minilm_term_sim_std,minilm_n_terms,bge_emb_norm,bge_term_sim_mean,bge_term_sim_std,bge_n_terms,gte_emb_norm,gte_term_sim_mean,gte_term_sim_std,gte_n_terms,colbert_emb_norm,colbert_term_sim_mean,colbert_term_sim_std,colbert_n_terms,ner_sm_n_entities,ner_sm_entity_ratio,ner_trf_n_entities,ner_trf_entity_ratio,nli_bart-large-mnli_benefit,nli_bart-large-mnli_hurt,nli_DeBERTa-v3-base-mnli-fever-anli_benefit,nli_DeBERTa-v3-base-mnli-fever-anli_hurt
573724,1.0,0.19695481657981873,0.20533429086208344,7,0.9999999403953552,0.6756770014762878,0.06751338392496109,7,1.0,0.7980212569236755,0.04093147814273834,7,11.889115333557129,0.6634016036987305,0.12684576213359833,7,0,0.0,0,0.0,0.9056470394134521,0.09435303509235382,0.6469283699989319,0.3530716896057129
833860,1.0,0.18892115354537964,0.19219501316547394,8,1.0,0.6763731241226196,0.06626156717538834,8,0.9999999403953552,0.7979162931442261,0.04684066399931908,8,12.256973266601562,0.697375476360321,0.15151958167552948,8,1,0.125,1,0.125,0.9278541803359985,0.07214580476284027,0.6937577724456787,0.3062422275543213
855410,0.9999999403953552,0.17626476287841797,0.2543196678161621,5,0.9999999403953552,0.6580266952514648,0.12696684896945953,5,1.0,0.819756805896759,0.07299473136663437,5,10.108654975891113,0.6143220663070679,0.0766368955373764,5,0,0.0,0,0.0,0.890943169593811,0.10905681550502777,0.675707221031189,0.32429274916648865
915593,1.0,0.20240816473960876,0.19065622985363007,9,1.0,0.6369597911834717,0.0745183452963829,9,1.0,0.7921846508979797,0.048212144523859024,9,11.842020988464355,0.5883619785308838,0.07954457402229309,9,0,0.0,0,0.0,0.9224732518196106,0.07752677798271179,0.9294870495796204,0.07051294296979904
962179,0.9999999403953552,0.16834069788455963,0.1515878140926361,6,0.9999999403953552,0.6651878952980042,0.042459018528461456,6,0.9999999403953552,0.7868101000785828,0.027989597991108894,6,11.906510353088379,0.6066147685050964,0.12177950143814087,6,0,0.0,1,0.16666666666666666,0.9163657426834106,0.08363419771194458,0.5520231127738953,0.4479769170284271
1037798,0.9999999403953552,0.3413377106189728,0.16692329943180084,4,1.0,0.6646564602851868,0.059802114963531494,4,0.9999999403953552,0.8279106616973877,0.049019645899534225,4,12.27000904083252,0.5762444138526917,0.13803184032440186,4,1,0.25,1,0.25,0.8802981972694397,0.1197018101811409,0.6336607933044434,0.36633920669555664
1063750,1.0,0.21547381579875946,0.20777016878128052,7,1.0,0.6062230467796326,0.07109536230564117,7,0.9999999403953552,0.7926515936851501,0.03854729235172272,7,11.849896430969238,0.6449437737464905,0.0968712791800499,7,1,0.14285714285714285,3,0.42857142857142855,0.7331478595733643,0.26685211062431335,0.6036659479141235,0.3963339924812317
1103812,1.0,0.23223677277565002,0.2112189531326294,7,0.9999999403953552,0.6642317175865173,0.04730793088674545,7,1.0,0.7815752625465393,0.025526823475956917,7,11.700566291809082,0.6180223226547241,0.13517236709594727,7,0,0.0,1,0.14285714285714285,0.7883755564689636,0.21162445843219757,0.6674472093582153,0.33255282044410706
1106007,1.0,0.615731954574585,0.26813608407974243,2,1.0,0.822157621383667,0.13485538959503174,2,1.0,0.89790278673172,0.08232957124710083,2,12.283499717712402,0.6619373559951782,0.07120808959007263,2,0,0.0,0,0.0,0.9213075637817383,0.0786924734711647,0.620311975479126,0.379688024520874
1110199,1.0,0.2732681632041931,0.2877894341945648,5,1.0,0.6921834945678711,0.11969376355409622,5,0.9999999403953552,0.8058949708938599,0.0677889958024025,5,13.502471923828125,0.6181418299674988,0.11445827782154083,5,0,0.0,0,0.0,0.9443463087081909,0.055653657764196396,0.666379451751709,0.333620548248291
1112341,0.9999999403953552,0.24964639544487,0.18861302733421326,8,1.0,0.6654574871063232,0.05817398428916931,8,0.9999999403953552,0.7880977988243103,0.04269973188638687,8,12.150879859924316,0.6672383546829224,0.11529770493507385,8,1,0.125,1,0.125,0.9100625514984131,0.08993746340274811,0.7713403701782227,0.22865964472293854
1113437,1.0,0.22278691828250885,0.24620085954666138,6,1.0,0.6584317684173584,0.09079337865114212,6,1.0,0.7948477864265442,0.06634049117565155,6,11.632773399353027,0.5871449708938599,0.15245762467384338,6,0,0.0,0,0.0,0.9430840611457825,0.056915923953056335,0.7083882093429565,0.29161179065704346
1114646,1.0,0.2633669376373291,0.2681804597377777,5,1.0,0.6146782636642456,0.13271784782409668,5,1.0,0.8199466466903687,0.07778914272785187,5,11.519885063171387,0.6130262613296509,0.09434458613395691,5,0,0.0,1,0.2,0.8921670913696289,0.1078329011797905,0.6201909780502319,0.37980905175209045
1114819,1.0,0.2567135691642761,0.20036666095256805,7,1.0,0.6565932631492615,0.07727949321269989,7,1.0,0.8019652962684631,0.04840506985783577,7,11.45434284210205,0.593752384185791,0.1124478280544281,7,0,0.0,0,0.0,0.9288502335548401,0.07114971429109573,0.6612269282341003,0.33877304196357727
1115776,0.9999999403953552,0.30701944231987,0.18639449775218964,6,1.0,0.6237307190895081,0.08809776604175568,6,0.9999999403953552,0.8323798179626465,0.04705876111984253,6,11.50157356262207,0.6504271626472473,0.11085653305053711,6,0,0.0,1,0.16666666666666666,0.9094328284263611,0.09056711941957474,0.606124758720398,0.3938751816749573
1117099,1.0,0.21442195773124695,0.22124890983104706,5,1.0,0.6303279399871826,0.08529919385910034,5,1.0,0.8277254104614258,0.05476006492972374,5,10.451382637023926,0.6322724223136902,0.10561095178127289,5,0,0.0,0,0.0,0.7221529483795166,0.2778470814228058,0.6542769074440002,0.34572309255599976
1121402,0.9999999403953552,0.30276942253112793,0.2156638503074646,5,0.9999998807907104,0.6502856016159058,0.08859360963106155,5,1.0,0.8219541311264038,0.05604896694421768,5,11.676560401916504,0.6115954518318176,0.10145312547683716,5,0,0.0,0,0.0,0.8582662343978882,0.14173375070095062,0.45080679655075073,0.5491932034492493
1121709,1.0,0.35896697640419006,0.20014318823814392,5,1.0,0.6762585043907166,0.09197061508893967,5,0.9999999403953552,0.8283915519714355,0.055727969855070114,5,10.692449569702148,0.6778978109359741,0.13047054409980774,5,1,0.2,1,0.2,0.9108477234840393,0.08915223181247711,0.6180688738822937,0.3819311559200287
1124210,1.0,0.33890023827552795,0.26579782366752625,5,1.0,0.7218209505081177,0.10226007550954819,5,0.9999999403953552,0.8323661088943481,0.06227359548211098,5,11.5687255859375,0.5682796239852905,0.10520029813051224,5,0,0.0,0,0.0,0.7862993478775024,0.21370069682598114,0.7378107309341431,0.2621892988681793
1129237,0.9999999403953552,0.2434825897216797,0.24605704843997955,7,0.9999999403953552,0.6896736025810242,0.07359974831342697,7,1.0,0.8082786202430725,0.052160292863845825,7,11.936808586120605,0.5255514979362488,0.15276482701301575,7,0,0.0,0,0.0,0.8245567083358765,0.17544327676296234,0.5528026223182678,0.44719740748405457
1133167,1.0,0.20425677299499512,0.23645219206809998,6,1.0,0.6801743507385254,0.08880282193422318,6,1.0,0.7867376804351807,0.06350310891866684,6,12.771719932556152,0.6775519847869873,0.09269026666879654,6,1,0.16666666666666666,1,0.16666666666666666,0.894948422908783,0.10505159944295883,0.7810353636741638,0.2189645916223526
