qid,docno,rank,origin_label,query,text
87181,6484575,2,B-Only,causes of left ventricular hypertrophy,"Left ventricular hypertrophy is enlargement and thickening (hypertrophy) of the walls of your heart's main pumping chamber (left ventricle). Left ventricular hypertrophy can develop in response to some factor — such as high blood pressure or a heart condition — that causes the left ventricle to work harder. As the workload increases, the muscle tissue in the chamber wall thickens, and sometimes the size of the chamber itself also increases."
87181,6521366,3,Both,causes of left ventricular hypertrophy,Left ventricular hypertrophy can occur when some factor makes your heart work harder than normal to pump blood to your body. Factors that can cause your heart to work harder include: High blood pressure (hypertension). This is the most common cause of left ventricular hypertrophy. More than one-third of people show evidence of left ventricular hypertrophy at the time of their diagnosis with hypertension. Aortic valve stenosis.
87181,8534134,4,A-Only,causes of left ventricular hypertrophy,"Left ventricular hypertrophy (LVH) occurs when the muscle tissue in the heart’s main pumping chamber becomes enlarged. LVH is often caused by high blood pressure or other heart problems and can lead to serious complications, such as heart disease, heart attack and heart failure."
87181,8683183,5,A-Only,causes of left ventricular hypertrophy,"Left ventricular hypertrophy can occur as an inborn disease in infants and children, due to an underlying condition known as hypertrophic cardiomyopathy. Hypertrophic cardiomyopathy or HCM is a hereditary disease that involves an inborn abnormality of the cardiac muscles."
87181,8683181,6,B-Only,causes of left ventricular hypertrophy,What is Left Ventricular Hypertrophy? Left ventricular hypertrophy is a disorder of the heart involving the enlargement or thickening of the wall of cardiac muscle situated in the chamber of the heart known as the left ventricle.
87181,2530252,7,A-Only,causes of left ventricular hypertrophy,"Left ventricular hypertrophy may cause or facilitate many cardiac complications of hypertension, including congestive heart failure, ventricular arrhythmias, myocardial ischemia, and sudden death. Left ventricular diastolic dysfunction, which may present with all of the symptoms and signs of congestive heart failure, is common in patients with long-standing hypertension."
87181,8534130,8,B-Only,causes of left ventricular hypertrophy,"See the Mayo Clinic webpage Left ventricular hypertrophy (LVH). It’s the thickening of the muscle of the left ventricle, usually because pumping against a higher resistance (hypertension, aortic valve defects) or as part of a hereditary heart muscle disease (hypertrophic cardiomyopathy). It’s correlated with more heart failure, more heart attacks, more deaths."
87452,186939,0,E2E-Only,causes of military suicide,"Combat Fatalities not the Most Common Cause of Military Deaths. Suicide was the third leading cause of Canadian military deaths after motor vehicle accidents and cancerin a newly published study of 25 years of death records. Even though the jury is out on whether suicide prevention programs work, Lt.-Col."
87452,8819116,1,E2E-Only,causes of military suicide,"Suicide surpassed war as the military's leading cause of death. War was the leading cause of death in the military nearly every year between 2004 and 2011 until suicides became the top means of dying for troops in 2012 and 2013, according to a bar chart published this week in a monthly Pentagon medical statistical analysis journal."
87452,8333919,2,E2E-Only,causes of military suicide,"Suicide surpassed war as the military's leading cause of death. War was the leading cause of death in the military nearly every year between 2004 and 2011 until suicides became the top means dying for in 2012 and 2013, according to a bar chart published this week in a. Post to Facebook."
87452,8081937,3,E2E-Only,causes of military suicide,"Military and civilian fatalities. According to WHO World health report 2004, deaths from intentional injuries (including war, violence, and suicide) were estimated to be 2.8% of all deaths. In the same report, unintentional injury was estimated to be responsible for 6.2% of all deaths. See also. List of causes of death by rate"
87452,8819112,4,E2E-Only,causes of military suicide,"Then, as the two stood just steps apart, Michael saluted, raised a gun to his head and pulled the trigger. Suicide Is Now the Leading Cause of Death Amongst Active-Duty Soldiers. In 2010, for the second year in a row, more American soldiers killed themselves than died in combat. Military officials knew they had an epidemic on their hands, but they didn't know how to mitigate the hyper-complex problem."
87452,186931,5,E2E-Only,causes of military suicide,"View. comments. The number of suicides among America's troops, averaging nearly one a day this year, has become the second leading cause of death among the military at the fastest pace in the nation's decade of war."
87452,8819114,6,E2E-Only,causes of military suicide,"List Notes: Data is top 5 causes of death in the United States military for the year 2012-2013. Data is latest available as of February 1st, 2015. Share on Social Media: Since the year 2001 4,486 U.S. troops have died in Iraq, 1,950 have died in Afghanistan, and 2,676 have died by suicide as of June 10th, 2012."
87452,8819113,7,E2E-Only,causes of military suicide,"The Top 5 Causes of Death in the United States Military. Sources: Armed Forces Health Surveillance Center: Medical Surveillance Monthly Report, October, 2014. Volume 21, Number 10. List Notes: Data is top 5 causes of death in the United States military for the year 2012-2013. Data is latest available as of February 1st, 2015. Since the year 2001 4,486 U.S. troops have died in Iraq, 1,950 have died in Afghanistan, and 2,676 have died by suicide as of June 10th, 2012."
87452,8422895,8,E2E-Only,causes of military suicide,"Suicide is the leading cause of all injury deaths, claiming 3,616 lives in 2004, according to the report. That is following by transport-related incidents-from motor-vehicle collisions to snowmobile crashes-which cost 3,067 Canadians their lives."
104861,5703400,0,PRF-Only,cost of interior concrete flooring,We pour a lot of 3000 psi. concrete for interior concrete floors and 4000 psi concrete for exterior concrete. The concrete cost per yard of concrete is $92.00 for 3000 3/4 psi concrete and $100.00 for 4000 3/4 psi concrete.
104861,1811410,1,PRF-Only,cost of interior concrete flooring,We pour a lot of 3000 psi. concrete for interior concrete floors and 4000 psi concrete for exterior concrete. The concrete cost per yard of concrete is $92.00 for 3000 3/4 psi concrete and $100.00 for 4000 3/4 psi concrete. So 10 yards of concrete is approximately $1000.00 dollars U.S. here in Maine. Those are the two most popular mix designs we use.
104861,6658615,2,PRF-Only,cost of interior concrete flooring,"Because the cost of a cubic yard of concrete has topped $100.00 dollars per yard in a lot of areas around the U.S., it's helpful to know the exact cost in your area. The slab you see us pouring below used 120 yards of concrete.The cost per cubic yard of 3000 psi concrete for this slab was $92.00 dollars. That's $11,040.00 just for the concrete! The cost for a yard of concrete will vary in different parts of the country and all over the world.ay's Concrete Floors, Inc is the name of my company. We pour a lot of 3000 psi. concrete for interior concrete floors and 4000 psi concrete for exterior concrete. The concrete cost per yard of concrete is $92.00 for 3000 3/4 psi concrete and $100.00 for 4000 3/4 psi concrete."
104861,6351571,3,PRF-Only,cost of interior concrete flooring,"The cost of concrete is a very important part of planning and budgeting for your specific concrete project. Because the cost of a cubic yard of concrete has topped $100.00 dollars per yard in a lot of areas around the U.S., it's helpful to know the exact cost in your area.ay's Concrete Floors, Inc is the name of my company. We pour a lot of 3000 psi. concrete for interior concrete floors and 4000 psi concrete for exterior concrete. The concrete cost per yard of concrete is $92.00 for 3000 3/4 psi concrete and $100.00 for 4000 3/4 psi concrete."
104861,2497738,4,PRF-Only,cost of interior concrete flooring,"Even though each project is unique, interior building finishes for commercial buildings typically fall in an. average cost per square foot range. $5-$10 per square foot for standard flooring, $5-$7 per square foot. for standard ceilings and $1-$5 per square foot for painting and walls finishes."
104861,6924183,5,PRF-Only,cost of interior concrete flooring,Cost ranges from $3.00 to $5.00 per square foot for a 4” standard concrete drive in a 4000 psi exterior concrete mix to $7.00 up to $20.00 per square foot and beyond for specialty color and texture processes.
104861,2377050,6,PRF-Only,cost of interior concrete flooring,Polished concrete floor cost: $3.00 to $7.00 dollars per square foot. These prices are for polished concrete floor finishes that range from 400 grit to 3000 grit diamond finishes. Any repairing of the concrete floor is extra.
104861,5852552,7,PRF-Only,cost of interior concrete flooring,"Cost ranges from $3.00 to $5.00 per square foot for a 4” standard concrete drive in a 4000 psi exterior concrete mix to $7.00 up to $20.00 per square foot and beyond for specialty color and texture processes.epending on your existing subgrade, driveway foundation, and economy of scale, asphalt pavement installation ranges in the $2.00 to $4.00 per square foot cost. Concrete is another very popular option for driveways, and one that allows for endless creativity."
104861,146170,8,PRF-Only,cost of interior concrete flooring,"Video on the cost of concrete floors. Depending on the level of complexity, concrete floors can cost as little as $2 to $6 a square foot or be as expensive as $15 to $30 a square foot. Typically installers put down a series of products including waterproofing, metal lathe, a concrete overlay and then the final finishing and sealing coats. 2  These applications can add another $2 to $3 per square foot to the cost of the floor."
130510,799647,0,PRF-Only,definition declaratory judgment,"Declaratory judgments are judgment of a court in a civil case that declares the rights, duties, or obligations of each party in a dispute. However, a declaratory judgment does not order any action or result in any award of damages to any party to the case."
130510,8612903,1,PRF-Only,definition declaratory judgment,"Wiktionary (0.00 / 0 votes) Rate this definition: declaratory judgment (Noun). A ruling of a court in a civil case which declares the rights, duties, or obligations of each party in a dispute, but does not necessarily award any damages or other relief."
130510,8612910,2,PRF-Only,definition declaratory judgment,"A declaratory judgment is one which simply declares the rights of the parties, or expresser, the opinion of the court on a. question of law, without ordering anything to be done."
130510,7501558,3,PRF-Only,definition declaratory judgment,"Nolo's Plain-English Law Dictionary. A court decision in a civil case that tells the parties what their rights and responsibilities are, without awarding damages or ordering them to do anything. Courts are usually reluctant to hear declaratory judgment cases, preferring to wait until there has been a measurable loss. But especially in cases involving important constitutional rights, courts will step in to clarify the legal landscape."
130510,8612902,4,PRF-Only,definition declaratory judgment,"A declaratory judgment does not provide for any enforcement, however. In other words, it states the court's authoritative opinion regarding the exact nature of the legal matter without requiring the parties to do anything."
130510,8612909,5,PRF-Only,definition declaratory judgment,"A declaratory judgment, also called a declaration, is the legal determination of a court that resolves legal uncertainty for the litigants."
130510,1494936,6,PRF-Only,definition declaratory judgment,"A declaratory judgment, sometimes called declaratory relief, is conclusive and legally binding as to the present and future rights of the parties involved. The parties involved in a declaratory judgment may not later seek another court resolution of the same legal issue unless they appeal the judgment."
130510,8612906,7,PRF-Only,definition declaratory judgment,"A ruling by a court (or, less commonly, a regulator) that resolves a dispute but does not order an action. That is, a declaratory judgment states a fact. For example, a declaratory judgment may state who owns a patent or a piece of property."
130510,8612904,8,PRF-Only,definition declaratory judgment,"The declaratory judgment is generally considered a statutory remedy and not an equitable remedy in the United States, and is thus not subject to equitable requirements, though there are analogies that can be found in the remedies granted by courts of equity."
131843,8305156,0,PRF-Only,definition of a sigmet,"SIGMET, or Significant Meteorological Information, is a weather advisory that contains meteorological information concerning the safety of all aircraft. There are two types of SIGMETs - convective and non-convective. The criteria for a non-convective SIGMET to be issued are severe or greater turbulence over a area, severe or greater icing over a area or IMC over a area due to dust, sand, or volcanic ash."
131843,8305158,1,PRF-Only,definition of a sigmet,"SIGMET, or Significant Meteorological Information, is a weather advisory that contains meteorological information concerning the safety of all aircraft. There are two types of SIGMETs - convective and non-convective. The criteria for a non-convective SIGMET to be issued are severe or greater turbulence over a 3,000-square-mile (7,800 km2) area, severe or greater icing over a 3,000-square-mile (7,800 km2) area or IMC over a 3,000-square-mile (7,800 km2) area due to dust, sand, or volcanic ash."
131843,8305153,2,PRF-Only,definition of a sigmet,"SIGMET, or Significant Meteorological Information, is a weather advisory that contains meteorological information concerning the safety of all aircraft. There are two types of SIGMETs, convective and non-convective."
131843,8305152,3,PRF-Only,definition of a sigmet,"Definition of SIGMET. plural. SIGMETs. also. sigmets. : a notice of significant hazardous weather conditions (such as extreme turbulence, icing, or poor visibility) in a large area that is provided to the pilot of an aircraft before takeoff — compare airmet."
131843,8305155,4,PRF-Only,definition of a sigmet,"A weather advisory concerning convective weather significant to the safety of all aircraft. Convective SIGMETs are issued for tornadoes, lines of thunderstorms, embedded thunderstorms of any intensity level, areas of thunderstorms greater than or equal to VIP level 4 with an area coverage of 4/10 (40%) or more, and hail 3/4 inch or greater."
131843,8305154,5,PRF-Only,definition of a sigmet,"When significant flight/weather events are observed or forecast, then a SIGMET is issued by the office responsible (Bracknell for London, Scottish and the Shanwick Oceanic FIR's (Flight Information Regions); Dublin for the Shannon FIR) for such as embedded (EMBD) or frequent (FRQ) cumulonimbus (CB) or thunderstorms (TS); severe icing (SEV ICE) in ..."
131843,985991,6,PRF-Only,definition of a sigmet,": a notice of potentially hazardous weather conditions (such as turbulence, icing, or low visibility) along a planned flight route that is provided to the pilot of an aircraft before takeoff — compare sigmet."
131843,8710813,7,PRF-Only,definition of a sigmet,"Definition of AIRMET. plural. AIRMETs. also. airmets. : a notice of potentially hazardous weather conditions (such as turbulence, icing, or low visibility) along a planned flight route that is provided to the pilot of an aircraft before takeoff — compare sigmet."
131843,2683747,8,PRF-Only,definition of a sigmet,"Related to convective: Convective precipitation, convective SIGMET convection Air heated by a space heater rises and is replaced by cool air, creating a convection current that circulates hot air throughout a room. con·vec·tion (kən-vĕk′shən) n. 1. The act or process of conveying; transmission. 2. Physics a."
146187,8434623,0,E2E-Only,difference between a mcdouble and a double cheeseburger,"There is a discernible difference between the two burgers, especially in the meat quality. The McDouble contains gristle and carry's a different flavor than the Double Cheeseburger. The double cheeseburger tastes more like beef. The McDouble tastes of whatever meat filler they use to fill the gap."
146187,8434619,1,E2E-Only,difference between a mcdouble and a double cheeseburger,"At first glance, the double cheeseburger looks a lot like the McDouble, but it is not exactly the same thing. The main difference that you will notice is the amount of cheese that is on this sandwich. There are two slices of cheese on the double cheeseburger instead of just the one slice of cheese that comes on the McDouble. Even though it comes with two slices of cheese, it still has the onions, pickles, ketchup and mustard that come on the other burgers."
146187,8434624,2,E2E-Only,difference between a mcdouble and a double cheeseburger,"The McDouble is listed as a slice of American cheese between two 100% beef patties, topped with pickles, onions, ketchup and mustard. mcdonalds.com. The Double Cheeseburger is listed as two slices of golden American cheese with two 100% all beef patties, pickles, onions, ketchup and mustard."
146187,4777144,3,E2E-Only,difference between a mcdouble and a double cheeseburger,"There are many items that can be purchased at McDonald's for just $1, really, just check their dollar menu ! Here's a tip that not everyone knows... a McDouble from the McDonalds Dollar menu is the same thing as a Double Cheeseburger-well, minus one piece of cheese (and a lot of cents)."
146187,8434626,4,E2E-Only,difference between a mcdouble and a double cheeseburger,"But I did it for you. With McDonald's recent release of the McDouble, they now have three basic, sub-$2 cheeseburgers: the cheeseburger, McDouble (two patties with one slice of cheese), and double cheeseburger (two patties with two slices of cheese)."
146187,8434625,5,E2E-Only,difference between a mcdouble and a double cheeseburger,"A double cheesburger has 2 slices of cheese with 2 meat patties. A mcdouble on the other hand only had 1 slice of cheese, but still 2 pieces of meat. I say had because mcdoubles arent sold in Australia (maybe a few stores but not a regular menu item) anymore. Other countries might be different but that's the difference in Australia."
146187,8434622,6,E2E-Only,difference between a mcdouble and a double cheeseburger,"Although we previously reported that the McDouble would be on the Dollar Menu, in Manhattan the cheeseburger appears on the Dollar Menu while the McDouble is $1.39 and the double cheeseburger is $1.49."
146187,744165,7,E2E-Only,difference between a mcdouble and a double cheeseburger,"Review: Triple Cheeseburger from McDonald’s. When it comes to the various sizes of classic McDonald’s cheeseburgers, the prices might have you scratching your head. The price differences between a McDonald’s Cheeseburger, the beefier McDouble and the cheesier Double Cheeseburger now all fall within 50-cents of one another."
146187,8434620,8,E2E-Only,difference between a mcdouble and a double cheeseburger,"So whenever the McDouble hit the Dollar Menu and the Double Cheeseburger was thrown into the “Burgers” section at $1.19 or even higher ($1.29 in most places now), the average consumer scratched their head, winced their eyes, and fell over in a wrath of confusion and bewilderment."
148538,8283532,0,PRF-Only,difference between rn and bsn,"Difference Between Rn and Bsn. RN vs BSN. RN is a Registered Nurse, and is a health care specialist who uses her learned nursing practices and processes to take care of an ailing person. A Registered Nurse is trained and qualified to treat patients. The Associate degree is two years, but on the other hand, the Bachelors degree takes four years."
148538,7407803,1,PRF-Only,difference between rn and bsn,"Cancel. The difference between an RN and a BSN is that an RN is a title for a registered nurse, while a BSN stands for a Bachelor of Science in nursing. Learn about the differences between degrees and licenses with help from a licensed RN in this free video on nursing jobs and health care."
148538,231455,2,PRF-Only,difference between rn and bsn,What Is the Difference Between RN and BSN Degrees? A registered nurse (RN) is a nurse who has passed the National Council Licensure Examination for Registered Nurses (NCLEX-RN) after completing an accredited training program. These programs come in the form of an Associate of Science in Nursing (ASN) or a Bachelor of Science in Nursing (BSN).
148538,7407812,3,PRF-Only,difference between rn and bsn,"So first of all, you should know RN stands for Registered Nurse. And BSN stands for Bachelors of Science and Nursing. So right off the by, you see there's a difference. The BSN is a degree that you get in a university. It's usually a four year degree. And from there, you can take a state regulated test or the NCLEX."
148538,3918785,4,PRF-Only,difference between rn and bsn,"You are considered a RN if you have a ASN (Associate of Science in Nursing) or a BSN (Bachelor of Science in Nursing). The difference with ASN and BSN is ASN is a 2 year degree and BSN is a 4 year degree. You will get paid more with a BSN. And I think hospitals are looking more for BSN students.If I were 18, I would go straight thru the 4 years.ut, you're still an RN either way. The best jobs will require the master's degree and have titles like Family Nurse Practitioner or Nurse Anesthetist with salaries nearing $100K per year. They are still an RN-they just have more training than most RNs."
148538,4959638,5,PRF-Only,difference between rn and bsn,A: RN is the abbreviation for Registered Nurse and BSN means Bachelor of Science in nursing. At the moment these are the two types of registered nursing degrees offered by colleges in the US. You become an RN by earning associate's degree which roughly takes about two years for completion.: RN is the abbreviation for Registered Nurse and BSN means Bachelor of Science in nursing. At the moment these are the two types of registered nursing degrees offered by colleges in the US. You become an RN by earning associate's degree which roughly takes about two years for completion.
148538,1985491,6,PRF-Only,difference between rn and bsn,"RN stands for registered nurse, the next license after LPN. BSN, bachelor of science nursing, and ADN, associate degree nursing are two of the educational levels that allow one to test for an RN license.Don't mix up the license with the education level required to get the license.SN is a four-year degree, aka Bachelor of Science Nursing. There is little, if any, difference in pay between a registered nurse with his/her ADN vs. BSN. The difference is management opportunity, which is geared toward the BSN."
148538,6894608,7,PRF-Only,difference between rn and bsn,"RN stands for registered nurse BSN for Bachelor of science in nursing. Basically the difference is BSN is a bachelors degree. You can see ore info about RN to BSN on Online RN to BSN Degree Program | Nursing Bachelors Degree | Utica College Online.r, it means a Registered Nurse who became a Registered Nurse by getting her Bachelor's Of Nursing degree. I applaud you for going for your Bachelor's Degree. Especially since you will be going straight from high school to college and since you want to become a NP."
148538,985491,8,PRF-Only,difference between rn and bsn,"RN vs BSN: Whats the Difference? The RN vs BSN is a common debate. Both allow you to work as a registered nurse, but what is the benefit and difference of getting a BSN versus RN. RN (registered nurse) is a qualification or a job title. You become an RN by taking and passing the National Council Licensure Examination for Registered Nurses (NCLEX-RN). That’s the only way to become a registered nurse in the US."
156493,3288601,0,Both,do goldfish grow,"A goldfish will grow to the depth of the water it is kept in. If the tank is not large enough to allow the goldfish to grow, it's growth will be stunted and this can cause the fish to become unhealthy and die."
156493,8182162,1,Both,do goldfish grow,"Depending on his type and his environment, goldfish have the capacity to grow anywhere from around 6 to 15 inches within a very short period of time. If they are kept in tiny aquariums or little bowls, they will still grow, but much more slowly. Those conditions are somewhat cramped for the fish and that will show in ..."
156493,2928707,2,Both,do goldfish grow,"Goldfish Only Grow to the Size of Their Enclosure. There is an element of truth to this, but it is not as innocent as it sounds and is related more to water quality than tank size. When properly cared for, goldfish will not stop growing. Most fishes are in fact what are known as indeterminate growers."
156493,3288600,3,Both,do goldfish grow,"A goldfish will grow to the depth of the water it is kept in. If the tank is not large enough to allow the goldfish to grow, it's growth will be stunted and this can cause the fish to become unhealthy and die. The fancy goldfish do not get as large as the common/comet/shubunkin/feeder goldfish."
156493,1960257,4,Both,do goldfish grow,"Goldfish Only Grow to the Size of Their Enclosure. There is an element of truth to this, but it is not as innocent as it sounds and is related more to water quality than tank size. When properly cared for, goldfish will not stop growing."
156493,8182160,5,Both,do goldfish grow,"The rate at which your goldfish grows will depend on several factors and the size of his tank does come into play here. If you keep your goldfish in a small tank and you limit his feeding, he will grow fairly slowly and may not grow to more than 3 or 4 inches before he succumbs to poor health and dies."
156493,2612493,6,A-Only,do goldfish grow,"In clean, uncrowded conditions in tanks or ponds, goldfish grow fast. They can grow to a few inches (1 to 4 inches) within the first year. It really depends on their genetics and living situation. It may take a year or two before they change color from brown to gold or whatever color their parents were."
156493,6139386,7,B-Only,do goldfish grow,"A: The conditions goldfish are kept in plus their diet determine how large they will grow. I have seen goldfish grow ridiculously large in very small containers when their water was changed frequently. Goldfish will not grow if water conditions are poor. Fancy goldfish don’t grow as large as Common goldfish. A good size would be around 5 inches body length for most fancy varieties, 8 inches for Comets and 12 inches for Common Goldfish. These sizes are usually only attained by pond grown fish."
156493,1113693,8,Easy-Negative,do goldfish grow,"Iguanas are ~6 inches long at the time they hatch. In the wild, iguanas grow 2-3 inches a month. They can (and should) grow at that rate in captivity (but often do not). Temperature is the most important factor affecting their growth rate."
168216,3830857,0,Both,does legionella pneumophila cause pneumonia,"Legionella pneumophila is the bacterial type that causes the pneumonia known as Legionnaires' disease. Other bacteria types that can cause pneumonia include the bacteria that cause so-called atypical pneumonia, Legionella pneumophila, Mycoplasma pneumoniae, and Chlamydophila pneumonia. The most common cause of viral pneumonia in adults is the influenza virus."
168216,1381477,1,Both,does legionella pneumophila cause pneumonia,"Legionella pneumophila is the bacterial type that causes the pneumonia known as Legionnaires' disease. Other bacteria types that can cause pneumonia include the bacteria that cause so-called atypical pneumonia, Legionella pneumophila, Mycoplasma pneumoniae, and Chlamydophila pneumonia. Haemophilus influenzae is a type of bacteria that can cause pneumonia."
168216,8723467,2,Both,does legionella pneumophila cause pneumonia,"Several types of bacteria, including Legionella pneumophila, Mycoplasma pneumoniae, and Chlamydophila pneumoniae, cause atypical pneumonia. It is sometimes called walking pneumonia and is referred to as atypical because its symptoms differ from those of other types of bacterial pneumonia."
168216,13499,3,Both,does legionella pneumophila cause pneumonia,"Streptococcus pneumoniae, a type of bacteria, is the most common cause of pneumonia. Legionella pneumophila is the bacterial type that causes the pneumonia known as Legionnaires' disease. Other bacteria types that can cause pneumonia include the bacteria that cause so-called atypical pneumonia, Legionella pneumophila, Mycoplasma pneumoniae, and Chlamydophila pneumonia. The most common cause of viral pneumonia in adults is the influenza virus. A number of different respiratory viruses cause pneumonia in children, such as respiratory syncytial virus (RSV)."
168216,1301467,4,A-Only,does legionella pneumophila cause pneumonia,"Legionnaires' disease is a severe, often lethal, form of pneumonia. It's caused by the bacterium Legionella pneumophila found in both potable and nonpotable water systems. Each year, an estimated 10,000 to 18,000 people are infected with the Legionella bacteria in the United States."
168216,8185135,5,A-Only,does legionella pneumophila cause pneumonia,": pneumonia that is caused by a bacterium of the genus Legionella (L. pneumophila), that is characterized initially by symptoms resembling influenza (as malaise, headache, and muscular aches) followed by high fever, cough, diarrhea, lobar pneumonia, and mental confusion, and that may be fatal especially in elderly and immunocompromised ..."
168216,1924796,6,Both,does legionella pneumophila cause pneumonia,"1 Atypical pneumonia is caused by bacteria such as Legionella pneumophila, Mycoplasma pneumoniae, and Chlamydophila pneumoniae.  Other bacteria that can cause pneumonia include Staphylococcus aureus, Moraxella catarrhalis, Streptococcus pyogenes, Neisseria meningitidis, Klebsiella pneumoniae, and Haemophilus influenzae."
168216,1924800,7,B-Only,does legionella pneumophila cause pneumonia,"Dozens of different types of bacteria can cause pneumonia: 1  Streptococcus (pneumococcus) is the most common cause of bacterial pneumonia in adults and there is a vaccine available for it.  Atypical pneumonia is caused by bacteria such as Legionella pneumophila, Mycoplasma pneumoniae, and Chlamydophila pneumoniae."
