qid,docno,rank,origin_label
156493,2928707,2,A-Only
156493,3288600,3,B-Only
156493,1960257,4,A-Only
156493,8182160,5,B-Only
156493,2612493,6,A-Only
156493,6139386,7,B-Only
156493,1113693,8,Easy-Negative
168216,3830857,0,Both
168216,1381477,1,Both
168216,8723467,2,A-Only
168216,13499,3,B-Only
168216,1301467,4,A-Only
168216,8185135,5,A-Only
168216,3033359,6,B-Only
168216,1924796,7,Both
168216,1924800,8,B-Only
182539,57443,0,Both
182539,1638689,1,Both
182539,1638690,2,Both
182539,7371262,3,Both
182539,57444,4,A-Only
182539,8757181,5,B-Only
182539,2909960,6,A-Only
182539,1307235,7,B-Only
182539,1030532,8,Easy-Negative
183378,7449748,0,A-Only
183378,8570258,1,B-Only
183378,4803848,2,Both
183378,7449744,3,A-Only
183378,4803847,4,B-Only
183378,7449752,5,A-Only
183378,1289497,6,B-Only
183378,8570257,7,B-Only
183378,1289489,8,A-Only
19335,2304005,0,Both
19335,772234,1,A-Only
19335,6512137,2,B-Only
19335,6512144,3,B-Only
19335,1720395,4,A-Only
19335,8828697,5,B-Only
19335,1720389,6,A-Only
19335,8828698,7,B-Only
19335,7122355,8,A-Only
207786,8273762,0,Both
207786,8273763,1,Both
207786,8273754,2,A-Only
207786,2763917,3,B-Only
207786,8273759,4,A-Only
207786,8273755,5,A-Only
207786,8273758,6,B-Only
207786,8273756,7,B-Only
207786,493420,8,Easy-Negative
264014,3338827,0,A-Only
264014,5328095,1,B-Only
264014,4834547,2,A-Only
264014,96855,3,B-Only
264014,1804644,4,A-Only
264014,2223171,5,B-Only
264014,6105569,6,A-Only
264014,3396076,7,B-Only
264014,1181075,8,Easy-Negative
359349,2826510,0,Both
359349,3223833,1,Both
359349,68648,2,A-Only
359349,576628,3,B-Only
359349,68649,4,A-Only
359349,5615181,5,B-Only
359349,3900185,6,B-Only
359349,943229,7,A-Only
359349,2490389,8,Easy-Negative
405717,8433854,0,A-Only
405717,2702419,1,B-Only
405717,4828118,2,Both
405717,3033900,3,Both
405717,3033904,4,A-Only
405717,7728831,5,B-Only
405717,8156519,6,B-Only
405717,2879960,7,A-Only
405717,5641165,8,Easy-Negative
443396,8536118,0,A-Only
443396,8536123,1,B-Only
443396,8536122,2,A-Only
443396,3440850,3,B-Only
443396,119472,4,A-Only
443396,3721948,5,B-Only
443396,4052112,6,A-Only
443396,8536121,7,B-Only
443396,1061980,8,Easy-Negative
451602,5179251,0,A-Only
451602,8383461,1,B-Only
451602,8390518,2,A-Only
451602,6286975,3,B-Only
451602,3177691,4,A-Only
451602,6286977,5,B-Only
451602,5475308,6,A-Only
451602,6286982,7,B-Only
451602,3234481,8,Easy-Negative
47923,618556,0,A-Only
47923,4297620,1,B-Only
47923,6241150,2,A-Only
47923,5417582,3,B-Only
47923,8641107,4,A-Only
47923,1681336,5,B-Only
47923,6241152,6,A-Only
47923,6241147,7,B-Only
47923,4490071,8,Easy-Negative
489204,1778458,0,A-Only
489204,5541650,1,B-Only
489204,855963,2,A-Only
489204,8054792,3,B-Only
489204,7116533,4,A-Only
489204,1051498,5,B-Only
489204,2268652,6,A-Only
489204,8737051,7,B-Only
489204,4761967,8,Easy-Negative
490595,805051,0,A-Only
490595,549465,1,B-Only
490595,4842889,2,A-Only
490595,5247999,3,B-Only
490595,4842897,4,A-Only
490595,4737059,5,B-Only
490595,8485139,6,B-Only
490595,805048,7,A-Only
490595,1160842,8,Easy-Negative
527433,8617271,0,A-Only
527433,5466810,1,B-Only
527433,1379245,2,Both
527433,3294599,3,A-Only
527433,5466807,4,B-Only
527433,1664523,5,B-Only
527433,4046876,6,A-Only
527433,7607669,7,Both
527433,1101462,8,Easy-Negative
573724,6776717,0,A-Only
573724,8833194,1,B-Only
573724,7674859,2,Both
573724,8833192,3,B-Only
573724,162151,4,A-Only
573724,8441642,5,B-Only
573724,5339620,6,A-Only
573724,1165129,7,B-Only
573724,5721829,8,A-Only
833860,8344031,0,A-Only
833860,5167513,1,B-Only
833860,6230226,2,A-Only
833860,8833502,3,A-Only
833860,5167510,4,B-Only
833860,6230227,5,A-Only
833860,2206194,6,B-Only
833860,6230222,7,B-Only
833860,4620277,8,Easy-Negative
855410,8651771,0,Both
855410,8651770,1,Both
855410,6933293,2,A-Only
855410,8651775,3,B-Only
855410,2117094,4,A-Only
855410,2890365,5,B-Only
855410,1819434,6,A-Only
855410,1186979,7,B-Only
855410,1041939,8,Easy-Negative
87181,6484576,0,Both
87181,8565420,1,A-Only
87181,6484575,2,B-Only
87181,6521366,3,Both
87181,8534134,4,A-Only
87181,8332546,5,A-Only
87181,8683181,6,B-Only
87181,8534130,7,B-Only
87181,104095,8,Easy-Negative
87452,186939,0,A-Only
87452,8819116,1,B-Only
87452,8333920,2,B-Only
87452,8333919,3,B-Only
87452,8081937,4,A-Only
87452,8819111,5,A-Only
87452,8819113,6,B-Only
87452,8819112,7,Both
87452,8081930,8,A-Only
915593,82107,0,A-Only
915593,8402971,1,B-Only
915593,3538160,2,A-Only
915593,82108,3,A-Only
915593,82113,4,B-Only
915593,6923052,5,B-Only
915593,8402972,6,A-Only
915593,4566822,7,B-Only
915593,98515,8,Easy-Negative
962179,5653659,0,A-Only
962179,2329699,1,B-Only
962179,2978866,2,A-Only
962179,8785371,3,B-Only
962179,2978869,4,A-Only
962179,2329701,5,B-Only
962179,4606386,6,A-Only
962179,2978871,7,B-Only
962179,1006865,8,Easy-Negative
